形容詞 (1),
形容詞,happy
形容詞,sad
形容詞,angry
形容詞,excited
形容詞,tired
形容詞,sleepy
形容詞,hungry
形容詞,thirsty
形容詞,kind
形容詞,nice
形容詞,friendly
形容詞,funny
形容詞,busy
形容詞,free
形容詞,brave
形容詞,big
形容詞,large
形容詞,small
形容詞,little
形容詞,tall
形容詞,short
形容詞,long
形容詞,heavy
形容詞,light
形容詞,beautiful
形容詞,cute
形容詞,pretty
形容詞,cool
形容詞,young
形容詞,old
形容詞,new
形容詞,clean
形容詞,dirty
形容詞,fat
形容詞,thin
形容詞,good
形容詞,bad
形容詞,great
形容詞,wonderful
形容詞,excellent
形容詞,perfect
形容詞,fine
形容詞,terrible
形容詞,important
形容詞,special
形容詞,famous
形容詞,popular
形容詞,favorite
形容詞,easy
形容詞,difficult
